lead_time_log,booking_changes,total_stay,previous_cancellations,adr,deposit_type,market_segment_weight,Cluster,clustering_method,silhouette_score
4.07753744390572,1,2,0,91.0,0,0.15,1,hierarchical,0.7438905122902957
1.0986122886681098,0,2,0,98.0,0,0.35,1,hierarchical,0.7438905122902957
5.170483995038151,0,3,0,79.2,0,0.35,1,hierarchical,0.7438905122902957
5.402677381872279,0,4,0,138.6,0,0.35,1,hierarchical,0.7438905122902957
3.4657359027997265,0,6,0,122.4,0,0.35,1,hierarchical,0.7438905122902957
5.736572297479192,0,5,0,66.0,1,0.31,0,hierarchical,0.7438905122902957
4.897839799950911,0,4,0,203.0,0,0.18,1,hierarchical,0.7438905122902957
3.4965075614664802,0,2,0,119.12,0,0.35,1,hierarchical,0.7438905122902957
4.844187086458591,0,3,0,126.0,0,0.35,1,hierarchical,0.7438905122902957
5.298317366548036,0,3,0,68.0,0,0.15,1,hierarchical,0.7438905122902957
2.833213344056216,0,1,0,98.0,0,0.35,1,hierarchical,0.7438905122902957
0.6931471805599453,0,4,0,119.0,0,0.35,1,hierarchical,0.7438905122902957
4.248495242049359,0,1,0,80.1,0,0.15,1,hierarchical,0.7438905122902957
1.6094379124341003,0,6,0,215.5,0,0.35,1,hierarchical,0.7438905122902957
4.543294782270004,0,3,0,117.0,0,0.35,1,hierarchical,0.7438905122902957
2.6390573296152584,0,3,0,261.0,0,0.35,1,hierarchical,0.7438905122902957
3.5263605246161616,1,2,0,48.0,0,0.35,1,hierarchical,0.7438905122902957
1.0986122886681098,0,5,0,75.0,0,0.15,1,hierarchical,0.7438905122902957
0.0,0,0,0,0.0,0,0.15,1,hierarchical,0.7438905122902957
4.248495242049359,1,2,0,150.3,0,0.35,1,hierarchical,0.7438905122902957
4.04305126783455,0,4,0,126.0,0,0.35,1,hierarchical,0.7438905122902957
4.584967478670572,0,4,0,99.0,0,0.18,1,hierarchical,0.7438905122902957
3.58351893845611,0,2,0,95.4,0,0.35,1,hierarchical,0.7438905122902957
1.791759469228055,0,1,0,65.0,0,0.18,1,hierarchical,0.7438905122902957
1.6094379124341003,0,1,0,124.5,0,0.18,1,hierarchical,0.7438905122902957
2.70805020110221,0,6,0,166.0,0,0.35,1,hierarchical,0.7438905122902957
3.912023005428146,0,3,0,126.0,0,0.35,1,hierarchical,0.7438905122902957
3.5263605246161616,0,7,0,162.29,0,0.35,1,hierarchical,0.7438905122902957
0.6931471805599453,1,7,0,65.0,0,0.15,1,hierarchical,0.7438905122902957
0.0,1,1,0,40.0,0,0.18,1,hierarchical,0.7438905122902957
4.867534450455582,0,2,0,110.0,0,0.35,1,hierarchical,0.7438905122902957
0.6931471805599453,0,1,0,43.0,0,0.15,1,hierarchical,0.7438905122902957
4.356708826689592,0,4,0,132.6,0,0.35,1,hierarchical,0.7438905122902957
5.501258210544727,1,7,0,90.0,0,0.35,1,hierarchical,0.7438905122902957
2.70805020110221,0,4,0,75.0,0,0.18,1,hierarchical,0.7438905122902957
5.204006687076795,0,1,0,85.5,0,0.35,1,hierarchical,0.7438905122902957
4.663439094112067,0,3,0,75.0,0,0.15,1,hierarchical,0.7438905122902957
1.0986122886681098,0,1,0,170.0,0,0.35,1,hierarchical,0.7438905122902957
5.7745515455444085,1,3,0,109.8,0,0.35,1,hierarchical,0.7438905122902957
3.8918202981106265,1,3,0,115.2,0,0.18,1,hierarchical,0.7438905122902957
4.07753744390572,1,5,0,261.4,0,0.18,1,hierarchical,0.7438905122902957
3.8501476017100584,0,4,0,210.0,0,0.35,1,hierarchical,0.7438905122902957
